Team,Seed,Date,PTS,,Opp,Opp Seed,Result,Team_PTS,Opp_PTS
Clemson,6,2024,77,N,New Mexico,11,W,77,56
Duke,2,2022,77,N,North Carolina,8,L,77,81
Texas Tech,3,2019,77,N,Virginia,1,L,77,85
Gonzaga,1,2017,77,N,South Carolina,7,W,77,73
VCU,10,2017,77,N,St. Mary's (CA),7,L,77,85
Oklahoma,2,2016,77,N,Texas A&M,3,W,77,63
UConn,4,2023,76,N,San Diego State,5,W,76,59
UCLA,2,2023,76,N,Gonzaga,3,L,76,79
Michigan St.,7,2022,76,N,Duke,2,L,76,85
Florida St.,4,2019,76,N,Vermont,13,W,76,69
Prairie View,16,2019,76,N,Fairleigh Dickinson,16,L,76,82
Xavier,11,2017,76,N,Maryland,6,W,76,65
Cincinnati,9,2016,76,N,Saint Joseph's,8,L,76,78
Xavier,6,2015,76,N,Ole Miss,11,W,76,57
UConn,8,2025,75,N,Florida,1,L,75,77
Arkansas,10,2025,75,N,St. John's (NY),2,W,75,66
Grand Canyon,12,2024,75,N,St. Mary's (CA),5,W,75,66
Northwestern,7,2023,75,N,Boise State,10,W,75,67
Arkansas,4,2022,75,N,Vermont,13,W,75,71
Texas Tech,3,2019,75,N,Gonzaga,1,W,75,69
Florida St.,9,2018,75,N,Gonzaga,4,W,75,60
Florida St.,9,2018,75,N,Xavier,1,W,75,70
UNI,11,2016,75,N,Texas,6,W,75,72
VCU,10,2016,75,N,Oregon State,7,W,75,67
Baylor,5,2016,75,N,Yale,12,L,75,79
Xavier,6,2015,75,N,Georgia State,14,W,75,67
Ohio St.,10,2015,75,N,VCU,7,W,75,72
Arkansas,4,2022,74,N,Gonzaga,1,W,74,68
Michigan St.,7,2022,74,N,Davidson,10,W,74,73
Grand Canyon,15,2021,74,N,Iowa,2,L,74,86
Arizona St.,11,2019,74,N,Buffalo,6,L,74,91
Michigan,2,2019,74,N,Montana,15,W,74,55
Arizona St.,11,2019,74,N,St. John's (NY),11,W,74,65
Arkansas,8,2023,73,N,Illinois,9,W,73,63
Nevada,11,2023,73,N,Arizona State,11,L,73,98
Texas Tech,3,2022,73,N,Duke,2,L,73,78
Davidson,10,2022,73,N,Michigan State,7,L,73,74
Texas A&M,7,2018,73,N,Providence,10,W,73,69
South Dakota St.,12,2018,73,N,Ohio State,5,L,73,81
Xavier,11,2017,73,N,Arizona,2,W,73,71
Northwestern,8,2017,73,N,Gonzaga,1,L,73,79
Arizona,2,2015,73,N,Ohio State,10,W,73,58
Oklahoma St.,9,2015,73,N,Oregon,8,L,73,79
Maryland,4,2025,72,N,Colorado State,12,W,72,71
Kansas,7,2025,72,N,Arkansas,10,L,72,79
UNCW,14,2025,72,N,Texas Tech,3,L,72,82
Alabama,4,2024,72,N,Connecticut,1,L,72,86
Arizona,2,2024,72,N,Clemson,6,L,72,77
Alabama,4,2024,72,N,Grand Canyon,12,W,72,61
Clemson,6,2024,72,N,Baylor,3,W,72,64
UConn,4,2023,72,N,Miami (FL),5,W,72,59
Arkansas,8,2023,72,N,Kansas,1,W,72,71
TCU,6,2023,72,N,Arizona State,11,W,72,70
Georgia St.,16,2022,72,N,Gonzaga,1,L,72,93
